2759687,Appingedam,Groningen,53.32167,6.85833
2758983,Bierum,Groningen,53.3825,6.85972
2758607,Borgsweer,Groningen,53.29833,7.0125
2757340,Delfzijl,Groningen,53.33,6.91806
2755929,Farmsum,Groningen,53.32167,6.92639
2755489,Godlinze,Groningen,53.3725,6.81389
2753846,Holwierde,Groningen,53.35833,6.87361
2752275,Krewerd,Groningen,53.35417,6.84861
2751426,Losdorp,Groningen,53.37583,6.83611
2751065,Meedhuizen,Groningen,53.285,6.91111
2746935,Spijk,Groningen,53.39,6.8375
2746428,Termunten,Groningen,53.29667,7.04583
2746426,Termunterzijl,Groningen,53.30083,7.03611
2745090,Wagenborgen,Groningen,53.25583,6.93333
2744228,Woldendorp,Groningen,53.27333,7.03056
2755728,Garmerwolde,Groningen,53.2475,6.65
2755495,Glimmen,Groningen,53.13917,6.62917
2755251,Groningen,Groningen,53.21917,6.56667
2754841,Haren,Groningen,53.17209,6.60931
2754819,Harkstede,Groningen,53.21333,6.69861
2752034,Lageland,Groningen,53.23648,6.71398
2751739,Lellens,Groningen,53.30083,6.70972
11395901,Meerstad,Groningen,53.22176,6.65179
2749857,Noordlaren,Groningen,53.12083,6.66667
2749588,Onnen,Groningen,53.15667,6.64167
2747294,"Sint Annen",Groningen,53.2975,6.66528
2746491,"Ten Boer",Groningen,53.27583,6.69444
2746483,"Ten Post",Groningen,53.2975,6.72778
2746361,Thesinge,Groningen,53.26833,6.65139
2744345,Winneweer,Groningen,53.31,6.74583
2744196,Woltersum,Groningen,53.27083,6.73194
2759967,Adorp,Groningen,53.275,6.53333
2759520,Baflo,Groningen,53.3625,6.51389
2759356,Bedum,Groningen,53.30083,6.60278
2757257,"Den Andel",Groningen,53.3925,6.50833
2756358,Eenrum,Groningen,53.3625,6.45833
2756053,Eppenhuizen,Groningen,53.38083,6.69722
2753604,Hornhuizen,Groningen,53.38833,6.36111
2753534,Houwerzijl,Groningen,53.33583,6.34028
2753078,Kantens,Groningen,53.36583,6.63472
2752627,Kloosterburen,Groningen,53.38667,6.39167
2751849,Lauwersoog,Groningen,53.40468,6.21418
2751813,Leens,Groningen,53.36,6.37917
2750951,Mensingeweer,Groningen,53.35167,6.46528
2750389,Niekerk,Groningen,53.34333,6.32917
2749806,Noordwolde,Groningen,53.2725,6.58889
2749641,Oldenzijl,Groningen,53.39333,6.71389
2749601,Onderdendam,Groningen,53.33417,6.59028
2749429,Oosternieland,Groningen,53.40167,6.75556
2749008,Oudeschip,Groningen,53.43,6.82639
2748603,Pieterburen,Groningen,53.40083,6.45278
2748319,Rasquert,Groningen,53.36833,6.51667
2747956,Roodeschool,Groningen,53.42083,6.76667
2747883,Rottum,Groningen,53.3825,6.62083
2747783,Saaxumhuizen,Groningen,53.38167,6.48472
2747747,Sauwerd,Groningen,53.29333,6.53472
2747461,Schouwerzijl,Groningen,53.33167,6.45
2746832,Startenhuizen,Groningen,53.36917,6.70972
2746692,Stitswerd,Groningen,53.36167,6.6
2746289,Tinallinge,Groningen,53.35667,6.53333
2745970,Uithuizen,Groningen,53.4075,6.67083
2745968,Uithuizermeeden,Groningen,53.41417,6.72361
2745944,Ulrum,Groningen,53.35917,6.33333
2745918,Usquert,Groningen,53.4025,6.61111
2745552,Vierhuizen,Groningen,53.405,6.85972
2745024,Warffum,Groningen,53.3925,6.55833
2745020,Warfhuizen,Groningen,53.34083,6.425
2744898,"Wehe-Den Hoorn",Groningen,53.35833,6.42222
2744707,Westernieland,Groningen,53.40083,6.48333
2755097,Wetsinge,Groningen,53.30417,6.52917
2744337,Winsum,Groningen,53.33,6.52083
2744080,Zandeweer,Groningen,53.3875,6.68333
2743816,Zoutkamp,Groningen,53.33917,6.30417
2743636,Zuidwolde,Groningen,53.2625,6.59167
2743602,Zuurdijk,Groningen,53.33833,6.37639
