1607847,2743477,Swol
1607851,2743477,Zwolle
2029630,2743493,Zwijndrecht
2431863,2743507,Zweins
2431864,2743507,Swyns
1244093,2743510,Zweelo
2431731,2743590,"De Westerein"
2697740,2743590,"De Westereen"
16386560,2743590,"De Westereen"
1244101,2743593,Zwaagdijk
1244105,2743608,Zutfen
1918469,2743608,Zutphen
1244106,2743611,Surig
1244107,2743619,"Groot Zundert"
1244108,2743624,Zuelichem
1944697,2743680,Zuidlaren
9466529,2743680,Súdlaren
1244132,2743787,Zuid
4123797,2743787,Zuideinde
8797506,2743787,Giethoorn
1244133,2743800,Zuidbruek
1244134,2743800,Zuidbrock
1244135,2743800,Zuidbreek
1244141,2743807,Zuidbeierland
9382901,2743816,Sâltkamp
1244145,2743824,Zorgvliet
13438006,2743853,Zoeterwoude
1614188,2743856,Zoetermeer
1244155,2743874,Silven
2697715,2743874,Silvolde
1244169,2743904,Zijdewinne
1244171,2743913,Zieriksee
1244178,2743944,Zevenbergschehoek
1920029,2743977,Zeist
11340354,2743977,Seist
1244187,2743985,Zeien
1244188,2743985,Zeyen
2322175,2743985,Zeijen
8552853,2744014,Zeeland
1244199,2744042,Landvoort
1943684,2744042,Zandvoort
1244209,2744129,Iersake
1244210,2744129,IJerseka
1244211,2744129,Ierseke
11643401,2744129,Yrseke
1244212,2744130,Ide
1244214,2744140,Wouwse-Plantage
1244218,2744147,Wouterswoud
2431737,2744147,Wouterswoude
2431738,2744147,Wâlterswâld
11521539,2744153,Wâldsein
1951873,2744156,Woudrichem
1244224,2744171,Wormereer
1554478,2744179,Workum
1554479,2744179,Warkum
4123841,2744179,Workum
1244232,2744187,"Het Woold"
13438005,2744187,"Winterswijk Woold"
1554476,2744189,Wons
1554477,2744189,Wûns
4123844,2744194,Wolvega
8490424,2744194,Wolvegea
1244233,2744199,Oostkerk
1244234,2744199,Oostkerke
9710219,2744199,Wolphaartsdijk
1244236,2744219,Wolfheeze
1244240,2744246,Woerdenscheverlaat
1244241,2744246,Woerdenschverlaat
1244242,2744246,"Woerdsche Verlaat"
1939598,2744248,Woerden
1947092,2744257,Woensdrecht
1554474,2744303,Witmarsum
1554475,2744303,Wytmarsum
1244251,2744317,Wissekerke
13437930,2744326,"Wirdum Gn"
1244252,2744329,Windraak
1244253,2744338,Winseem
4123851,2744338,Winsum
1244254,2744339,Winsen
1920453,2744344,Winschoten
8320368,2744344,Wynskoat
1244261,2744360,"Kiel Windeweer"
1244263,2744373,Welp
1244268,2744418,"Wilhelmina Soord"
1244278,2744453,Witgaard
1244279,2744453,Wytgaard
1737,2744458,Wyns
2431652,2744458,Wijns
1244281,2744459,Duurswoude
1244282,2744459,Wijnjeterp-Duurswoude
1244283,2744459,Wijnjeterp
1244284,2744459,Wynjeterp
2431977,2744459,Wijnjewoude
2431978,2744459,Wynjewâld
1244285,2744472,Winaldum
2431843,2744472,Wijnaldum
2431844,2744472,Winaam
2431846,2744472,Winaem
8729040,2744483,"Wyk by Duerstede"
1244288,2744489,Wije
1244290,2744510,Wijkel
1244291,2744510,Wikel
1952946,2744514,Wijchen
1244297,2744518,Wiewerd
12133247,2744518,Wiuwert
1554472,2744526,Wierum
1554473,2744526,Wierum
4123864,2744526,Wierum
1244301,2744532,Wieringerdorf
1952767,2744549,Wierden
1952770,2744549,Wierden
2919740,2744551,Wier
2919741,2744551,Wier
4123870,2744551,Wier
1244311,2744577,Wesup
1244314,2744587,Weurd
1244315,2744588,Wetsens
2431828,2744588,Wetzens
1244316,2744593,"De Wetering"
1244317,2744608,Westerschelling
1244318,2744608,West-Skylge
1244324,2744636,Knollendam
13437791,2744636,Westknollendam
1244326,2744650,"West Grastdijk"
1244335,2744671,Westerwijdwerd
1244341,2744741,Westerhaar
1244345,2744753,Westerenden
1244348,2744770,Blokker
1244364,2744818,Wezepe
1933610,2744827,Werkendam
12133269,2744833,Wenum-Wiesel
2730175,2744848,Welsrijp
1244372,2744865,"Well L"
1244379,2744898,Hoorn
1244380,2744898,Weë
1244381,2744898,"Den Hoorn"
1244382,2744898,Wehe
2034262,2744904,Weesp
1244386,2744911,Weerd
2013117,2744911,Weert
1244387,2744915,Weerseloo
2431964,2744995,Waskemeer
2431966,2744995,Waskemar
2432125,2744998,Wartena
2432126,2744998,Warten
2432127,2745000,Warstiens
2432128,2745000,Warstiens
2432123,2745018,Warga
2432124,2745018,Wergea
11577843,2745020,Warfhuzen
1244405,2745024,Warfum
1244406,2745025,Warden
1244409,2745037,Wapenvelde
2426566,2745042,Wânswert
4123917,2745042,Wanswerd
1244412,2745043,Wansum
1244415,2745046,Wanrooi
1244416,2745046,Wanroy
1244417,2745046,Wanrooy
1244418,2745048,Wenneperveen
1244420,2745060,Walsoorde
1650035,2745088,Wageningen
1244437,2745094,Wadenooien
1244438,2745094,Wadenooijen
1244439,2745094,Wadenoyen
1244441,2745101,Waaksens
2431801,2745101,Waaxens
1915466,2745123,Waalwijk
1952796,2745127,Waalre
1244455,2745163,"Lieve Vrouwe Parochie"
1244456,2745163,"Lieve Vrouwenparochie"
2432182,2745163,Vrouwenparochie
2432183,2745163,Froubuorren
1244457,2745166,Vrouweakker
1244462,2745182,Uriezenveen
1244463,2745187,Friescheloo
1244476,2745250,Mullem
1244477,2745250,Vortum
1244478,2745250,Mullum
11262445,2745250,Vortum-Mullem
13438015,2745326,"Vondelingenplaat Rotterdam"
11606966,2745352,Fûgelwearde
1618126,2745392,Vlissingen
8306598,2745392,Flissingen
1244507,2745461,Vlachtwedde
1952500,2745461,Vlagtwedde
1927756,2745467,Vlaardingen
1244521,2745505,Finkega
10929367,2745550,Vierlingsbeek
13437928,2745581,"Vianen NB"
1244549,2745626,Veen
1244550,2745626,Ven
1244552,2745634,Venraai
1244553,2745634,Venraij
1244554,2745641,Venloo
1616975,2745641,Venlo
8218528,2745641,Fenlo
1244555,2745653,Veenebrugge
1244559,2745673,Velsen
1244560,2745673,Velzen
2004705,2745673,Velsen
1244561,2745674,Velseroord
1244562,2745674,Velzeroord
11586582,2745677,Felp
1244569,2745726,Vechel
1930962,2745726,Veghel
1244570,2745727,Stobbegat
1244571,2745727,Stobbega
2432066,2745727,Vegelinsoord
2432067,2745727,Vegelinsoard
2432068,2745727,Stobbegat
2432069,2745727,Stobbegea
1244572,2745728,Vesen
1244578,2745739,Vere
1655239,2745739,Veere
2431720,2745743,Veenwouden
2431721,2745743,Feanwâlden
1244581,2745754,Veenkloster
1244583,2745757,Veeninger
1244584,2745757,Veningen
11642731,2745764,Feanhuzen
1244586,2745774,Venendaal
1929199,2745774,Veenendaal
1244591,2745800,Varseveld
1244592,2745801,Varselder
1244606,2745842,Eerste-Valtermond
1244607,2745842,"Eerste Valthermond"
1244609,2745846,Valte
1931460,2745860,Valkenswaard
13334037,2745872,Valkenburg
13334038,2745872,Valkenburg
1244624,2745892,Vasen
1937503,2745906,Vaals
1985450,2745912,Utrecht
10386985,2745912,Utert
1244631,2745918,Uskwerd
11512600,2745918,Uskwert
1654493,2745932,Urk
1554470,2745936,Ureterp
1554471,2745936,Oerterp
4124004,2745936,Ureterp
4124006,2745940,Ulvenhout
1244642,2745949,Ulekoten
6918604,2745960,Uitwellingerga
1244645,2745968,Uithuizermeedum
1244646,2745968,Uithuizermeden
1244647,2745973,Uithoorn
11359786,2745973,Uthoarn
2021499,2745978,Uitgeest
11358203,2745978,Utgeast
4124013,2745997,Ugchelen
4124014,2745997,Uchelen
1931443,2746005,Uden
1244657,2746023,Tjummarum
2431875,2746023,Tzummarum
2431876,2746023,Tsjummearum
1244658,2746024,Tjum
2431849,2746024,Tzum
2431850,2746024,Tsjom
1244659,2746027,"'t Zandt"
1244662,2746031,Zand
1244664,2746038,Tinaarloo
1244665,2746038,Tinaarlo
1931642,2746038,Tynaarlo
1931645,2746038,Tynaarlo
1244669,2746048,Twist
2431576,2746051,Twijzelerheide
2431577,2746051,Twizelerheide
1244671,2746052,Twizel
2431573,2746052,Twijzel
1244693,2746071,"2e Valthermond"
1244694,2746071,Valterveen
1244696,2746075,"2e Exloërmond"
1244697,2746075,"Tweede Ekslooërmond"
1244699,2746083,Waar
1244700,2746083,"Het Waar"
13437807,2746083,"'t Waar"
1244701,2746085,Waal
2188742,2746085,"Tull en 't Waal"
1244702,2746093,Veld
13437802,2746093,"'t Veld"
1244713,2746121,Tuitjehorn
1933080,2746133,Tubbergen
1933083,2746133,Tubbergen
1244724,2746160,Trimen
1244735,2746198,Torenwerd
1244743,2746228,Tolkmar
1244744,2746228,Tokalmar
1244745,2746234,Tolberd
1244748,2746247,Loo
1244749,2746247,"Het Loo"
12133240,2746247,"'t Loo Oldebroek"
2432091,2746269,Tjerkgaast
2432092,2746269,Tsjerkgaast
1244758,2746274,Tjallebert
1244759,2746274,Tjallebird
4124045,2746274,Tjalleberd
1244760,2746284,"De Tinte"
1244761,2746297,Tilhgte
1640610,2746301,Tilburg
8201531,2746301,Tilburch
1244762,2746304,Tynje
2431975,2746304,Tijnje
2431976,2746304,"De Tynje"
5580310,2746311,Tytsjerk
5580311,2746311,Tietjerk
1244766,2746314,Tienraai
1244767,2746314,Tienray
1952566,2746331,Tiel
1244771,2746342,Torn
2020854,2746342,Thorn
1244773,2746351,Tolen
1913274,2746351,Tholen
1244775,2746361,Thezinge
1244776,2746361,Tezinge
1244779,2746371,"Het Harde"
